CustomerID,Gender,Age,Annual_Income_k,Spending_Score,Purchase_Frequency_Year,Avg_Order_Value,Recency_Days,Return_Rate_Pct,Discount_Usage_Pct,Online_Order_Ratio,App_Sessions_Month,Years_As_Customer,Total_Annual_Spend,High_Value_Customer,Cluster_ID,Persona_Name,Persona_Tag,Tier,High_Value_Prediction,High_Value_Probability,Marketing_Strategy,Recommended_Channel
CUST_0011,Male,29,39,7,3,52.62,312,17.0,25.6,0.61,6,3.8,157.86,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0012,Female,43,150,27,23,273.34,314,23.8,26.5,0.46,3,4.3,6286.82,0,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,Standard,0.059,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0013,Female,63,75,92,33,231.09,164,22.1,65.9,0.38,18,7.5,7625.97,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.998,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0014,Male,51,66,86,27,198.57,151,24.4,67.8,0.22,16,5.6,5361.39,0,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.187,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0015,Male,66,41,14,9,92.18,286,16.5,45.2,0.38,4,9.9,829.62,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0016,Male,31,83,71,29,202.26,152,18.1,38.5,0.51,18,2.7,5865.54,1,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.974,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0017,Male,43,47,86,25,221.91,132,24.1,71.0,0.35,17,6.4,5547.75,1,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.96,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0018,Female,62,64,5,7,82.19,365,20.9,39.7,0.12,0,7.8,575.33,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0019,Male,44,150,55,27,267.69,217,17.5,29.7,0.45,15,7.0,7227.63,1,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,High-Value,0.975,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0020,Male,26,58,2,5,90.83,346,25.1,33.7,0.6,7,4.1,454.15,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0021,Female,43,101,62,27,253.3,156,13.0,33.3,0.2,13,7.1,6839.1,1,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,High-Value,0.994,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0022,Male,64,44,91,27,219.29,113,18.3,66.3,0.34,14,10.1,5920.83,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.993,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0023,Male,39,59,21,9,130.13,274,11.5,49.8,0.5,7,6.4,1171.17,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0024,Male,64,134,79,33,303.61,133,11.7,41.0,0.25,12,10.0,10019.13,1,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,High-Value,0.992,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0025,Female,47,46,21,7,121.69,315,23.3,41.2,0.49,8,6.9,851.83,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0026,Female,60,136,10,21,243.46,327,12.3,16.6,0.34,0,7.3,5112.66,0,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,Standard,0.004,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0027,Male,65,83,87,35,237.13,194,20.7,40.8,0.37,11,8.4,8299.55,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.971,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0028,Female,34,47,58,21,160.79,249,25.6,50.0,0.59,16,3.5,3376.59,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.001,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0029,Female,43,80,39,19,179.31,247,17.1,35.3,0.53,9,6.1,3406.89,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0030,Male,53,93,5,11,157.46,325,19.5,20.0,0.55,6,7.3,1732.06,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0031,Female,18,80,65,23,219.7,240,20.8,53.8,0.65,18,3.1,5053.1,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.021,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0032,Male,25,30,13,8,70.36,365,14.6,38.7,0.49,7,4.4,562.88,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0033,Male,66,44,85,24,213.3,82,16.6,68.4,0.23,15,8.9,5119.2,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.846,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0034,Female,52,54,90,30,200.5,138,14.7,62.5,0.24,20,7.1,6015.0,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.991,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0035,Female,69,58,85,30,235.95,140,16.4,59.8,0.33,14,11.1,7078.5,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.998,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0036,Female,32,80,53,20,228.62,249,20.7,59.5,0.72,15,3.4,4572.4,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.002,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0037,Male,64,65,82,25,259.76,214,16.0,45.0,0.28,13,9.8,6494.0,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.919,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0038,Male,39,33,45,12,81.3,236,19.3,62.0,0.54,14,4.3,975.6,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0039,Female,31,72,32,20,158.79,221,13.9,41.4,0.41,9,4.5,3175.8,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0040,Male,43,79,36,15,139.51,290,22.8,63.5,0.48,10,5.0,2092.65,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0041,Male,45,78,81,27,196.13,200,15.7,49.2,0.63,23,7.2,5295.51,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.888,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0042,Female,40,98,99,35,304.34,103,23.3,47.0,0.57,21,5.5,10651.9,1,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.998,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0043,Male,31,88,60,24,220.17,191,17.8,49.2,0.29,13,3.0,5284.08,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.019,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0044,Female,41,74,11,12,139.9,324,12.4,37.4,0.55,5,4.6,1678.8,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0045,Male,19,58,63,21,197.93,230,17.9,47.0,0.68,17,2.1,4156.53,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.002,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0046,Female,62,29,21,6,107.2,298,15.3,43.3,0.37,7,10.0,643.2,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0047,Male,43,73,52,16,195.0,242,20.4,59.2,0.55,12,6.6,3120.0,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.0,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0048,Female,31,66,55,19,246.52,225,17.3,40.4,0.4,12,3.9,4683.88,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.005,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0049,Female,68,68,26,11,153.65,296,18.9,45.2,0.32,2,9.0,1690.15,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0050,Male,24,34,68,20,197.0,212,17.9,67.8,0.73,17,3.0,3940.0,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.003,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0051,Female,20,37,34,17,66.94,264,17.0,60.7,0.74,12,3.0,1137.98,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0052,Female,64,97,52,21,256.48,219,13.4,37.4,0.42,10,9.8,5386.08,0,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,Standard,0.017,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0053,Female,40,59,82,26,214.57,179,21.9,55.0,0.34,19,4.8,5578.82,1,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.964,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0054,Female,63,82,99,33,238.79,82,17.1,51.7,0.18,24,9.4,7880.07,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.998,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0055,Female,60,61,93,28,246.06,101,17.2,46.1,0.37,11,8.8,6889.68,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.991,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0056,Female,64,61,52,19,170.09,194,17.7,54.5,0.36,11,10.3,3231.71,0,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.0,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0057,Male,62,92,29,18,199.18,316,14.7,39.0,0.33,6,9.9,3585.24,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0058,Male,35,48,38,18,156.11,265,17.7,61.8,0.38,5,5.4,2809.98,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0059,Male,55,63,42,20,134.33,218,19.2,41.1,0.45,12,8.2,2686.6,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0060,Male,52,49,21,17,132.17,337,14.7,55.4,0.42,7,6.4,2246.89,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0061,Male,68,50,42,18,144.98,241,15.3,59.9,0.35,9,10.5,2609.64,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0062,Male,32,53,13,16,132.85,306,24.2,44.5,0.61,2,3.9,2125.6,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0063,Female,42,67,64,21,198.93,196,16.8,33.9,0.42,13,4.9,4177.53,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.002,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0064,Male,54,49,17,16,96.46,365,16.7,41.7,0.32,2,7.1,1543.36,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0065,Male,45,106,9,11,178.86,330,11.6,45.9,0.61,11,7.1,1967.46,0,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,Standard,0.001,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0066,Female,27,40,41,14,130.57,278,22.6,55.0,0.43,16,2.3,1827.98,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0067,Male,56,55,1,6,77.5,365,14.4,46.9,0.31,0,7.6,465.0,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0068,Female,34,50,2,5,74.93,365,18.8,41.9,0.69,1,4.4,374.65,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0069,Male,56,116,60,26,245.09,250,9.8,37.8,0.3,12,6.3,6372.34,0,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,Standard,0.446,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0070,Female,39,66,48,17,168.86,221,21.6,33.3,0.46,15,4.2,2870.62,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0071,Female,43,96,29,19,207.03,260,22.0,44.2,0.39,3,6.7,3933.57,0,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,Standard,0.0,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0072,Male,61,31,97,27,196.46,85,21.4,74.5,0.08,13,9.4,5304.42,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.882,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0073,Male,42,68,10,11,143.7,335,12.1,32.6,0.44,2,5.0,1580.7,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0074,Female,34,90,58,28,224.4,188,20.9,43.5,0.35,16,5.5,6283.2,1,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.992,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0075,Female,30,63,60,20,162.48,216,15.1,48.8,0.57,14,4.6,3249.6,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.001,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0076,Female,37,97,21,17,194.93,314,12.6,39.3,0.65,7,4.6,3313.81,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,High-Value Upselling & Premium Basket Conversion,Curated Email Lookbooks / Targeted Category Highlights
CUST_0077,Female,42,48,28,14,107.42,324,17.4,43.9,0.13,9,6.3,1503.88,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0078,Male,21,114,75,36,284.5,182,15.1,50.5,0.52,16,3.8,10242.0,1,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,High-Value,0.999,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0079,Male,27,150,34,20,305.75,266,13.5,27.4,0.61,7,3.2,6115.0,0,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,Standard,0.024,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0080,Male,20,51,8,10,72.12,357,23.9,23.2,0.26,12,1.5,721.2,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0081,Female,58,49,59,15,172.17,183,26.9,57.8,0.57,15,9.3,2582.55,0,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.001,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0082,Female,62,116,86,30,307.82,144,11.2,52.7,0.4,15,8.9,9234.6,1,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,High-Value,0.998,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0083,Male,35,123,72,30,312.02,191,13.6,31.2,0.66,17,3.4,9360.6,1,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,High-Value,0.998,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0084,Male,64,48,49,22,169.49,244,19.5,55.7,0.25,12,9.1,3728.78,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0085,Male,53,50,79,22,205.63,176,17.3,72.7,0.33,15,7.3,4523.86,0,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.002,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0086,Male,64,53,17,12,104.59,302,20.3,45.9,0.31,2,10.0,1255.08,0,0,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.0,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0087,Female,39,33,60,19,156.13,246,23.1,67.1,0.8,14,5.2,2966.47,0,1,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.001,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0088,Female,51,40,87,22,224.25,197,22.2,58.3,0.61,20,6.2,4933.5,0,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.032,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0089,Female,64,38,88,27,195.53,92,21.7,62.3,0.35,14,9.4,5279.31,1,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,High-Value,0.944,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0090,Female,25,43,45,21,133.64,214,25.7,51.1,0.6,11,3.2,2806.44,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
CUST_0091,Male,57,59,83,24,227.45,154,12.2,53.7,0.47,15,7.0,5458.8,0,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.144,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0092,Female,66,67,69,24,211.31,181,24.2,51.1,0.68,13,9.4,5071.44,0,2,Young Enthusiasts & Trendsetters,Potential / High-Engagement,Tier 3 - High Engagement,Standard,0.006,Gamified Mobile Engagement & Flash Social Drops,Mobile App Push / TikTok & Instagram Ads / SMS Alerts
CUST_0093,Female,61,121,32,16,208.28,340,14.8,19.8,0.41,8,9.4,3332.48,0,3,Affluent VIP Spenders,Premium / High-Value,Tier 1 - Highest Value,Standard,0.001,VIP Loyalty Concierge & Exclusive Retention,Dedicated Concierge / Private Invitation / SMS Preview
CUST_0094,Female,36,39,44,14,136.34,259,22.3,50.8,0.5,13,3.3,1908.76,0,4,Frugal Budget Conscious,Budget Shoppers,Tier 4 - Cost Sensitive,Standard,0.001,Smart Value & Price-Sensitive Promotional Campaigns,Weekly Promotional Email / Discount Catalog SMS
